Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
260.0,96.21694922,102.40560328,95.460141295,787.101927,198.891525,2.02626942,1262.26879,1266.00849
261.0,96.190723257,102.7359916,95.765647617,786.919172,198.786612,2.02844218,1260.31059,1265.83951
262.0,95.95330428,103.13053248,95.859073119,786.630389,198.731925,1.87994009,1258.83716,1265.78491
263.0,95.873067519,103.47220517,96.296803241,786.117798,198.796855,1.72786014,1257.02228,1264.2683
264.0,95.489552511,103.57930088,95.968288042,786.045954,198.892516,1.5215582,1257.6265,1265.0604
265.0,95.109263534,103.71121596,95.77481569,786.384232,199.043435,1.28686836,1258.6115,1266.10711
266.0,94.689554011,103.93684936,95.551009482,786.764036,199.051908,0.998214313,1259.63567,1267.33394
267.0,94.720346694,103.8454141,95.394521746,787.112855,198.974765,0.924495454,1261.0933,1267.45409
268.0,94.776348422,103.91582979,95.402108667,787.282139,198.858644,0.843747783,1261.37898,1267.22535
269.0,94.991385946,103.98403149,95.606008421,787.149819,198.761017,0.8348947,1260.77052,1266.05576
270.0,95.034580395,104.12443967,95.686585462,786.952744,198.73807,0.777216778,1259.97467,1265.40934
271.0,95.309641882,104.12901021,96.082797232,786.513126,198.817186,0.833259076,1258.67764,1263.5438
