Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
246.0,105.08047257,108.60686337,95.941375024,783.364037,213.210518,-1.19784949,1262.86954,1266.5883
247.0,105.37445982,108.5953739,96.040341345,783.256119,213.268276,-1.19429408,1263.399,1264.8712
248.0,106.0928618,108.04056333,96.042932437,783.191629,213.407962,-0.855189297,1264.64304,1263.10364
249.0,106.80862627,107.51156812,96.200478188,783.027396,213.595253,-0.419389637,1264.78579,1261.75811
250.0,107.96868831,106.3711111,96.159568439,782.912632,213.774644,0.410981744,1266.06244,1260.48901
251.0,108.52310039,105.91933612,96.334837361,782.712884,213.956494,0.959735104,1265.03013,1260.59549
252.0,108.67611635,105.78532251,96.399935066,782.464685,214.084262,1.29261003,1263.79612,1261.44345
253.0,108.17172886,106.10182133,96.125435049,782.584448,214.203654,1.23274875,1263.22725,1264.046
254.0,107.91828222,106.65370225,96.658352952,782.249772,214.289582,1.06151794,1261.16462,1263.61131
255.0,107.87021885,106.47143546,96.247371206,782.21402,214.284238,1.0837523,1262.77595,1264.28118
256.0,107.98703846,106.19828942,95.950529327,782.701872,214.380153,1.17875149,1264.755,1265.19436
257.0,107.98658912,106.38840716,96.062288758,782.88443,214.36732,1.12276607,1264.62238,1265.50767
258.0,108.38301179,106.09353615,95.896281959,783.018019,214.306656,1.31650867,1265.76488,1265.29081
259.0,108.63261095,106.01540302,95.804714289,783.242541,214.329436,1.43404943,1266.07635,1265.50833
260.0,108.81127446,106.14260757,95.895223707,783.284325,214.378473,1.47588084,1265.42156,1265.31529
261.0,108.09573906,107.07535908,95.847038587,783.300391,214.46832,0.991944506,1263.59047,1266.77828
262.0,107.57442681,107.86736425,95.960002414,783.232959,214.630174,0.496939408,1262.44762,1266.7176
263.0,107.23337268,108.59409687,96.375033705,782.758816,214.810482,0.00519848805,1260.83823,1265.07424
264.0,107.36957332,108.52186383,96.413905624,782.341387,215.020918,-0.129859845,1261.49918,1263.27494
265.0,107.51245883,108.29734581,96.372152734,782.216879,215.289769,-0.153777892,1262.48695,1262.58511
266.0,107.19622255,108.34376263,96.014963374,782.494221,215.490325,-0.329372759,1263.69162,1264.23056
267.0,107.16455442,108.21370508,95.709634711,783.005298,215.596818,-0.360522882,1265.50573,1265.48586
268.0,107.0939314,108.37822393,95.609687111,783.368011,215.577874,-0.469123006,1266.07204,1266.35636
269.0,107.65268885,108.29393004,96.006646797,783.13689,215.511336,-0.314215484,1265.50294,1264.38394
270.0,108.23558453,107.97257053,96.295666615,782.564392,215.498276,-0.0332827529,1264.53124,1262.21125
271.0,108.31536863,107.92165812,96.45442002,782.087993,215.647724,0.0705078154,1263.08082,1261.58445
